prompt,response,text
What information is available about Neufchatel (as made in France) .?,"(b) Unripened: Cottage, Pot, Bakers', Cream, Neufchatel (as

made in the United States), Mysost, Primost, and fresh
Ricotta.","human:What information is available about Neufchatel (as made in France) .?
bot:(b) Unripened: Cottage, Pot, Bakers', Cream, Neufchatel (as

made in the United States), Mysost, Primost, and fresh
Ricotta."
What information is available about Accidental modiﬁcations or changes in one or more steps of the cheesemaking process throughout the centuries were largely responsible for the?,"development of the diVerent kinds of cheese. These changes were little
understood and diVicult to duplicate because scientiﬁc knowledge of bacteriology and chemistry was lacking. As a result, cheesemaking was considered an art, and the making process was a closely guarded secret passed
down from father to son.

With increased scientiﬁc knowledge, especially since 1900, has come an
understanding of the bacteriology and chemistry involved in the making
of many cheeses. Thus it has become possible to control more precisely
each step in the making process and to manufacture a uniform product.
Now, cheesemaking is becoming a science rather than an art.","human:What information is available about Accidental modiﬁcations or changes in one or more steps of the cheesemaking process throughout the centuries were largely responsible for the?
bot:development of the diVerent kinds of cheese. These changes were little
understood and diVicult to duplicate because scientiﬁc knowledge of bacteriology and chemistry was lacking. As a result, cheesemaking was considered an art, and the making process was a closely guarded secret passed
down from father to son.

With increased scientiﬁc knowledge, especially since 1900, has come an
understanding of the bacteriology and chemistry involved in the making
of many cheeses. Thus it has become possible to control more precisely
each step in the making process and to manufacture a uniform product.
Now, cheesemaking is becoming a science rather than an art."
What information is available about DESCRIPTIONS OF CHEESES?,"Abertam

Abertam is a hard cheese made from ewe's milk in the region of Carlsbad,
Bohemia.","human:What information is available about DESCRIPTIONS OF CHEESES?
bot:Abertam

Abertam is a hard cheese made from ewe's milk in the region of Carlsbad,
Bohemia."
What information is available about Alemtejo?,"Alemtejo is a rather soft cheese made in the Province of Alemtejo, Portugal. It is cylindrical in shape and is made in 3 sizes, weighing about 2
ounces, 1 pound, and 4 pounds, respectively. It is made mostly from ewe's

milk, but goat's milk is often added, especially for the smaller sizes. Warm
milk is curdled, usually with an extract prepared from the ﬂowers of a kind
of thistle. The cheese is ripened for several weeks.

Analysis: Moisture, 30 to 50 percent; fat, 25 to 38 percent; protein, 11
to 25 percent; and salt, 1 to 3 percent.","human:What information is available about Alemtejo?
bot:Alemtejo is a rather soft cheese made in the Province of Alemtejo, Portugal. It is cylindrical in shape and is made in 3 sizes, weighing about 2
ounces, 1 pound, and 4 pounds, respectively. It is made mostly from ewe's

milk, but goat's milk is often added, especially for the smaller sizes. Warm
milk is curdled, usually with an extract prepared from the ﬂowers of a kind
of thistle. The cheese is ripened for several weeks.

Analysis: Moisture, 30 to 50 percent; fat, 25 to 38 percent; protein, 11
to 25 percent; and salt, 1 to 3 percent."
What information is available about Allgauer Rundkase?,"Allgauer Rundkase or Allgauer Emmentaler is a type of Swiss cheese
named for the district of Allgau in the Alps in southwestern Bavaria. It
is from 5 to 5% inches thick and weighs usually between 150 and 175
pounds. (See Swiss.)","human:What information is available about Allgauer Rundkase?
bot:Allgauer Rundkase or Allgauer Emmentaler is a type of Swiss cheese
named for the district of Allgau in the Alps in southwestern Bavaria. It
is from 5 to 5% inches thick and weighs usually between 150 and 175
pounds. (See Swiss.)"
What information is available about Alpin?,"Alpin cheese, a variant of Mont d'Or cheese, is made in the Alpine region
of France. It is known also as Clerimbert. The milk is coagulated with
rennet at a temperature of 80° F. in about 2 hours. The curd is dipped
into molds 3 or 4 inches in diameter and inches deep, and the whey
is drained oV. The cheese is turned several times the ﬁrst day, after which
it is salted and then ripened for 8 to 15 days.","human:What information is available about Alpin?
bot:Alpin cheese, a variant of Mont d'Or cheese, is made in the Alpine region
of France. It is known also as Clerimbert. The milk is coagulated with
rennet at a temperature of 80° F. in about 2 hours. The curd is dipped
into molds 3 or 4 inches in diameter and inches deep, and the whey
is drained oV. The cheese is turned several times the ﬁrst day, after which
it is salted and then ripened for 8 to 15 days."
What information is available about Altenburger?,"Altenburger is a goat's-milk cheese made in Germany, especially in
Thiiringen in central Germany, where it is known as Altenburger Ziegenkase. It is 8 inches in diameter, 1 or 2 inches thick, and weighs about 2

pounds.","human:What information is available about Altenburger?
bot:Altenburger is a goat's-milk cheese made in Germany, especially in
Thiiringen in central Germany, where it is known as Altenburger Ziegenkase. It is 8 inches in diameter, 1 or 2 inches thick, and weighs about 2

pounds."
What information is available about Ambert?,"Ambert cheese, known also as Fourme d' Ambert, is a cylindrical Roquefort-type cheese made to a limited extent in central France, from cow's
milk. It is said to diVer from other Roquefort-type cheeses made in south-

4","human:What information is available about Ambert?
bot:Ambert cheese, known also as Fourme d' Ambert, is a cylindrical Roquefort-type cheese made to a limited extent in central France, from cow's
milk. It is said to diVer from other Roquefort-type cheeses made in south-

4"
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,"5

eastern France in that the salt is mixed with the curd instead of being rubbed
on the surface of the cheese. It is cured for at least 3 months. (See
Roquefort. )","human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:5

eastern France in that the salt is mixed with the curd instead of being rubbed
on the surface of the cheese. It is cured for at least 3 months. (See
Roquefort. )"
What information is available about American?,"American and American-type cheeses are descriptive terms used to identify the group which includes Cheddar (i. e., American Cheddar) , Colby,

Granular or Stirred-curd, and Washed- or Soaked-curd cheeses. Sometimes Monterey or Jack cheese is included in this group. A description
of each kind is given under its speciﬁc name.","human:What information is available about American?
bot:American and American-type cheeses are descriptive terms used to identify the group which includes Cheddar (i. e., American Cheddar) , Colby,

Granular or Stirred-curd, and Washed- or Soaked-curd cheeses. Sometimes Monterey or Jack cheese is included in this group. A description
of each kind is given under its speciﬁc name."
What information is available about Ancien Imperial?,"Ancien Imperial is a French cheese about 2 inches square and l /2 inch
thick that may be sold and consumed either fresh or after it has cured. The
fresh cheese is known also as Petit Carre and the cured cheese as Carre
AVine. The curd is prepared in the same way as for Neufchatel, and the
curing process is not essentially diVerent. (See Neufchatel.)","human:What information is available about Ancien Imperial?
bot:Ancien Imperial is a French cheese about 2 inches square and l /2 inch
thick that may be sold and consumed either fresh or after it has cured. The
fresh cheese is known also as Petit Carre and the cured cheese as Carre
AVine. The curd is prepared in the same way as for Neufchatel, and the
curing process is not essentially diVerent. (See Neufchatel.)"
What information is available about Appenzeller?,"Appenzeller cheese, which is similar to Swiss, is made from cow's milk
in the Canton of Appenzell, Switzerland, and also in Bavaria and Baden.
It is made usually from skim milk but sometimes from whole milk. (See
Swiss. )","human:What information is available about Appenzeller?
bot:Appenzeller cheese, which is similar to Swiss, is made from cow's milk
in the Canton of Appenzell, Switzerland, and also in Bavaria and Baden.
It is made usually from skim milk but sometimes from whole milk. (See
Swiss. )"
What information is available about Appetitost?,"Appetitost is a Danish cheese made from sour buttermilk. Some is imported, and a small quantity is made in the United States.","human:What information is available about Appetitost?
bot:Appetitost is a Danish cheese made from sour buttermilk. Some is imported, and a small quantity is made in the United States."
What information is available about Armavir?,"Armavir, a sour-milk cheese that resembles Hand cheese, is made in the
western Caucasus from ewe's whole milk. Sour buttermilk or whey is

added to heated milk. The cheese is pressed in forms and is ripened in a
warm place.","human:What information is available about Armavir?
bot:Armavir, a sour-milk cheese that resembles Hand cheese, is made in the
western Caucasus from ewe's whole milk. Sour buttermilk or whey is

added to heated milk. The cheese is pressed in forms and is ripened in a
warm place."
What information is available about Asadero?,"Asadero, also called Oaxaca, is a white, whole-milk Mexican cheese. It
melts easily when heated, which accounts for the name Asadero (ﬁt for
roasting) . It is named Oaxaca for the State of Oaxaca, although it is now
made for the most part in the State of Jalisco. The curd is heated, and the
hot curd is cut and braided or kneaded into loaves of various sizes, ranging
from 8 ounces to 1 1 pounds in weight.","human:What information is available about Asadero?
bot:Asadero, also called Oaxaca, is a white, whole-milk Mexican cheese. It
melts easily when heated, which accounts for the name Asadero (ﬁt for
roasting) . It is named Oaxaca for the State of Oaxaca, although it is now
made for the most part in the State of Jalisco. The curd is heated, and the
hot curd is cut and braided or kneaded into loaves of various sizes, ranging
from 8 ounces to 1 1 pounds in weight."
What information is available about Asiago?,"Asiago cheese originated in the commune of that name in the Province
of Vicenza, Italy. It is made also in Carnia, Venetia, Trentino, Lombardy,

6 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

and nearby areas. It was made originally from ewe's milk and was called
Pecorino di Asiago. It is now made from cow's milk and is a sweet-curd,
semicooked, Grana-type cheese with a pungent aroma. It is round and
ﬂat and weighs usually between 16 and 22 pounds. Like other grating
cheeses, it may be used as a table cheese when not aged. Table cheese
of this kind that can be sliced is called Asiago di taglio (slicing cheese).

In Italy, Asiago is made from partly skimmed milk, which is curdled
with rennet at a temperature of 92° to 96° F. The curd is cut into
particles the size of wheat grains, and the temperature is raised to approximately 108° or as high as 118°. After about 15 minutes the greater part
of the whey is run oV. The curd is dipped into circular hoops and pressed.
The cheeses are salted in brine for several days, after which they are
ripened. After curing 4 to 10 months, the cheese is at its best for eating,
resembling Battelmatt; after 12 to 20 months, it is strong and sharp in
ﬂavor and is suitable for grating, resembling Romano and Grana. The
yield of cured cheese is about 7/2 pounds per 100 pounds of milk containing
3.5 percent of fat.

In the United States, three modiﬁcations of Asiago are made, namely,
fresh (soft), medium, and old. The method of manufacture is much the
same for all three and is similar to that used for other Italian cheeses,
such as Fontina, Parmesan, and Romano.

A bacterial starter is added to warm milk that may be standardized
to adjust the fat content. Rennet (preferably in the form of rennet
paste) or rennet extract plus a lipase enzyme preparation is diluted with
water and mixed with the milk. When the curd is suViciently ﬁrm, it
is cut and then heated gradually and stirred continuously. The heating
and cutting are continued until the particles of curd are about the size
of wheat grains. After further stirring and heating, the curd is allowed
to settle to the bottom of the kettle and then is removed by dipping with
a cloth. It is then pressed in hoops.","human:What information is available about Asiago?
bot:Asiago cheese originated in the commune of that name in the Province
of Vicenza, Italy. It is made also in Carnia, Venetia, Trentino, Lombardy,

6 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

and nearby areas. It was made originally from ewe's milk and was called
Pecorino di Asiago. It is now made from cow's milk and is a sweet-curd,
semicooked, Grana-type cheese with a pungent aroma. It is round and
ﬂat and weighs usually between 16 and 22 pounds. Like other grating
cheeses, it may be used as a table cheese when not aged. Table cheese
of this kind that can be sliced is called Asiago di taglio (slicing cheese).

In Italy, Asiago is made from partly skimmed milk, which is curdled
with rennet at a temperature of 92° to 96° F. The curd is cut into
particles the size of wheat grains, and the temperature is raised to approximately 108° or as high as 118°. After about 15 minutes the greater part
of the whey is run oV. The curd is dipped into circular hoops and pressed.
The cheeses are salted in brine for several days, after which they are
ripened. After curing 4 to 10 months, the cheese is at its best for eating,
resembling Battelmatt; after 12 to 20 months, it is strong and sharp in
ﬂavor and is suitable for grating, resembling Romano and Grana. The
yield of cured cheese is about 7/2 pounds per 100 pounds of milk containing
3.5 percent of fat.

In the United States, three modiﬁcations of Asiago are made, namely,
fresh (soft), medium, and old. The method of manufacture is much the
same for all three and is similar to that used for other Italian cheeses,
such as Fontina, Parmesan, and Romano.

A bacterial starter is added to warm milk that may be standardized
to adjust the fat content. Rennet (preferably in the form of rennet
paste) or rennet extract plus a lipase enzyme preparation is diluted with
water and mixed with the milk. When the curd is suViciently ﬁrm, it
is cut and then heated gradually and stirred continuously. The heating
and cutting are continued until the particles of curd are about the size
of wheat grains. After further stirring and heating, the curd is allowed
to settle to the bottom of the kettle and then is removed by dipping with
a cloth. It is then pressed in hoops."
"What information is available about When the cheeses are removed from the hoops, they are salted in a?","brine bath and cured on shelves. While curing, they are washed and
turned frequently and sometimes are rubbed occasionally with vegetable
oil. Sometimes they are coated with paraVin, either clear or colored
black or brown.

Asiago fresh cheese is cured for not less than 60 days (some authorities
say at least 4 months) ; Asiago medium is cured for at least 6 months;
and Asiago old, which is used mostly as grated cheese, is cured for not
less than a year.

Analysis: Asiago fresh — moisture, 40 to 45 percent; fat, not less than
50 percent in the solids. Asiago medium — moisture, not more than 35
percent; fat, not less than 45 percent in the solids. Asiago old — moisture,
not more than 32 percent; fat, not less than 42 percent in the solids.","human:What information is available about When the cheeses are removed from the hoops, they are salted in a?
bot:brine bath and cured on shelves. While curing, they are washed and
turned frequently and sometimes are rubbed occasionally with vegetable
oil. Sometimes they are coated with paraVin, either clear or colored
black or brown.

Asiago fresh cheese is cured for not less than 60 days (some authorities
say at least 4 months) ; Asiago medium is cured for at least 6 months;
and Asiago old, which is used mostly as grated cheese, is cured for not
less than a year.

Analysis: Asiago fresh — moisture, 40 to 45 percent; fat, not less than
50 percent in the solids. Asiago medium — moisture, not more than 35
percent; fat, not less than 45 percent in the solids. Asiago old — moisture,
not more than 32 percent; fat, not less than 42 percent in the solids."
What information is available about Asia?,"Asin cheese, which is also called Water cheese, is a sour-milk, washedcurd, whitish, soft, buttery, more or less ripened cheese that is made on
farms and in small dairies in the mountainous regions in northern Italy.","human:What information is available about Asia?
bot:Asin cheese, which is also called Water cheese, is a sour-milk, washedcurd, whitish, soft, buttery, more or less ripened cheese that is made on
farms and in small dairies in the mountainous regions in northern Italy."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,"7

It contains a few large eyes. It is made mostly in spring, while the cows
are grazing on green pasture, and is consumed in summer and autumn.
It is popular as a dessert cheese and frequently is eaten with honey and
fruits.

The cheeses are cylindrical and ﬂat, about 8 inches in diameter and
6 inches thick, and weigh about 14 pounds.

The method of manufacture is quite diVerent from that of any other
cheese. Fresh, warm cow's milk is put into a vat without rennet and is
curdled by souring. The curd is cut and stirred until the pieces are the
size of wheat grains. Then hot water (at a temperature of 185° to 195° F.)
is added slowly, with stirring — as much as 1 part of water to 3 parts of
curd and whey. This heats the curd to a temperature of approximately
105° to 110°. To avoid excessive washing, some hot whey may be added
with the water. For 35 to 40 minutes after the curd is cut, whey is expelled
from the granules, and they shrink and acquire ﬁrmness. A sample of
the curd is squeezed in the hand, then rubbed, and when the granules
can be rubbed apart readily the curd is permitted to settle for about
10 minutes and then is dipped with a cloth. The curd is pressed by hand
to expel more whey, is placed in a circular hoop, pressed lightly overnight,
and then — still in the hoop — is placed in a moderately warm room. After
a few days the hoop is removed. The cheese is turned, and may be salted
lightly, each day. After 10 to 15 days a whitish mold growing on the
surface becomes visible, and the rind gradually turns pale yellow.

The cheese has a mild ﬂavor and is ready to eat when it is 1 to 2 months
old. After an additional 2 or 3 months of ripening in a special salt brine
it has more ﬂavor, and is called Salmistra.","human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:7

It contains a few large eyes. It is made mostly in spring, while the cows
are grazing on green pasture, and is consumed in summer and autumn.
It is popular as a dessert cheese and frequently is eaten with honey and
fruits.

The cheeses are cylindrical and ﬂat, about 8 inches in diameter and
6 inches thick, and weigh about 14 pounds.

The method of manufacture is quite diVerent from that of any other
cheese. Fresh, warm cow's milk is put into a vat without rennet and is
curdled by souring. The curd is cut and stirred until the pieces are the
size of wheat grains. Then hot water (at a temperature of 185° to 195° F.)
is added slowly, with stirring — as much as 1 part of water to 3 parts of
curd and whey. This heats the curd to a temperature of approximately
105° to 110°. To avoid excessive washing, some hot whey may be added
with the water. For 35 to 40 minutes after the curd is cut, whey is expelled
from the granules, and they shrink and acquire ﬁrmness. A sample of
the curd is squeezed in the hand, then rubbed, and when the granules
can be rubbed apart readily the curd is permitted to settle for about
10 minutes and then is dipped with a cloth. The curd is pressed by hand
to expel more whey, is placed in a circular hoop, pressed lightly overnight,
and then — still in the hoop — is placed in a moderately warm room. After
a few days the hoop is removed. The cheese is turned, and may be salted
lightly, each day. After 10 to 15 days a whitish mold growing on the
surface becomes visible, and the rind gradually turns pale yellow.

The cheese has a mild ﬂavor and is ready to eat when it is 1 to 2 months
old. After an additional 2 or 3 months of ripening in a special salt brine
it has more ﬂavor, and is called Salmistra."
What information is available about The yield is about 11 pounds of cheese per 100 pounds of milk.?,"Backsteiner

Backsteiner cheese, which is made to a limited extent in northern Germany, is similar to Stangenkase ; that is, it is a modiﬁed Limburger-Romadurtype cheese. Backsteiner means brick, and the cheese is so-called because
of its brick-like shape. However, it is not like the Brick cheese made in the
United States but is more like Limburger that is made from partly skimmed
milk, except that Backsteiner is smaller and is cured for a shorter time.
When made in squares, it is known as Quadra tkase. (See Limburger and
Romadur. )

Analysis: Moisture, 35 to 70 percent; fat, 3 to 38 percent; and protein,
20 to 25 percent.","human:What information is available about The yield is about 11 pounds of cheese per 100 pounds of milk.?
bot:Backsteiner

Backsteiner cheese, which is made to a limited extent in northern Germany, is similar to Stangenkase ; that is, it is a modiﬁed Limburger-Romadurtype cheese. Backsteiner means brick, and the cheese is so-called because
of its brick-like shape. However, it is not like the Brick cheese made in the
United States but is more like Limburger that is made from partly skimmed
milk, except that Backsteiner is smaller and is cured for a shorter time.
When made in squares, it is known as Quadra tkase. (See Limburger and
Romadur. )

Analysis: Moisture, 35 to 70 percent; fat, 3 to 38 percent; and protein,
20 to 25 percent."
